time_ms_1	analog_output	time_ms_2	analog_input
33	-0.509338	33	4.86572	
33.2	-0.505981	33.2	4.86603	
33.4	-0.508728	33.4	4.86572	
33.6	-0.503845	33.6	4.86603	
33.8	-0.494995	33.8	4.86633	
34	-0.484009	34	4.86664	
34.2	-0.481262	34.2	4.86664	
34.4	-0.481262	34.4	4.86664	
34.6	-0.487061	34.6	4.86664	
34.8	-0.483398	34.8	4.86664	
35	-0.485229	35	4.86664	
35.2	-0.485229	35.2	4.86664	
35.4	-0.485229	35.4	4.86664	
35.6	-0.484619	35.6	4.86664	
35.8	-0.484314	35.8	4.86664	
36	-0.488281	36	4.86664	
36.2	-0.483093	36.2	4.86664	
36.4	-0.483704	36.4	4.86664	
36.6	-0.481873	36.6	4.86664	
36.8	-0.478821	36.8	4.86694	
37	-0.479431	37	4.86694	
37.2	-0.481262	37.2	4.86664	
37.4	-0.474854	37.4	4.86694	
37.6	-0.481567	37.6	4.86664	
37.8	-0.482483	37.8	4.86664	
38	-0.476074	38	4.86694	
38.2	-0.479431	38.2	4.86694	
38.4	-0.478516	38.4	4.86694	
38.6	-0.479126	38.6	4.86694	
38.8	-0.482483	38.8	4.86664	
39	-0.478516	39	4.86694	
39.2	-0.473022	39.2	4.86694	
39.4	-0.478821	39.4	4.86694	
39.6	-0.473328	39.6	4.86694	
39.8	-0.473328	39.8	4.86694	
