time_ms_1	analog_output	time_ms_2	analog_input
33	-0.489807	33	4.86664	
33.2	-0.496216	33.2	4.86633	
33.4	-0.491638	33.4	4.86633	
33.6	-0.490112	33.6	4.86633	
33.8	-0.488281	33.8	4.86664	
34	-0.471191	34	4.86725	
34.2	-0.467834	34.2	4.86725	
34.4	-0.473938	34.4	4.86694	
34.6	-0.473022	34.6	4.86694	
34.8	-0.47699	34.8	4.86694	
35	-0.480347	35	4.86694	
35.2	-0.47699	35.2	4.86694	
35.4	-0.480042	35.4	4.86694	
35.6	-0.478821	35.6	4.86694	
35.8	-0.473022	35.8	4.86694	
36	-0.473328	36	4.86694	
36.2	-0.473633	36.2	4.86694	
36.4	-0.470581	36.4	4.86725	
36.6	-0.470581	36.6	4.86725	
36.8	-0.474548	36.8	4.86694	
37	-0.471191	37	4.86725	
37.2	-0.471802	37.2	4.86694	
37.4	-0.474854	37.4	4.86694	
37.6	-0.474243	37.6	4.86694	
37.8	-0.471802	37.8	4.86694	
38	-0.475769	38	4.86694	
38.2	-0.470581	38.2	4.86725	
38.4	-0.469971	38.4	4.86725	
38.6	-0.476074	38.6	4.86694	
38.8	-0.474854	38.8	4.86694	
39	-0.475159	39	4.86694	
39.2	-0.474854	39.2	4.86694	
39.4	-0.472107	39.4	4.86694	
39.6	-0.473938	39.6	4.86694	
39.8	-0.474243	39.8	4.86694	
