time_ms_1	analog_output	time_ms_2	analog_input
33	-0.482483	33	4.86664	
33.2	-0.480652	33.2	4.86694	
33.4	-0.475159	33.4	4.86694	
33.6	-0.478821	33.6	4.86694	
33.8	-0.464172	33.8	4.86725	
34	-0.457764	34	4.86755	
34.2	-0.470886	34.2	4.86725	
34.4	-0.462341	34.4	4.86755	
34.6	-0.469666	34.6	4.86725	
34.8	-0.465698	34.8	4.86725	
35	-0.466614	35	4.86725	
35.2	-0.466614	35.2	4.86725	
35.4	-0.4599	35.4	4.86755	
35.6	-0.469666	35.6	4.86725	
35.8	-0.45929	35.8	4.86755	
36	-0.462036	36	4.86755	
36.2	-0.463257	36.2	4.86725	
36.4	-0.455933	36.4	4.86755	
36.6	-0.459595	36.6	4.86755	
36.8	-0.462341	36.8	4.86755	
37	-0.45929	37	4.86755	
37.2	-0.464783	37.2	4.86725	
37.4	-0.466614	37.4	4.86725	
37.6	-0.459595	37.6	4.86755	
37.8	-0.463867	37.8	4.86725	
38	-0.462952	38	4.86725	
38.2	-0.457458	38.2	4.86755	
38.4	-0.463257	38.4	4.86725	
38.6	-0.461426	38.6	4.86755	
38.8	-0.458984	38.8	4.86755	
39	-0.464172	39	4.86725	
39.2	-0.459595	39.2	4.86755	
39.4	-0.460815	39.4	4.86755	
39.6	-0.460815	39.6	4.86755	
39.8	-0.464783	39.8	4.86725	
