time_ms_1	analog_output	time_ms_2	analog_input		
33	-0.455017	33	4.86755		
33.2	-0.457764	33.2	4.86755		
33.4	-0.454102	33.4	4.86755		
33.6	-0.45105	33.6	4.86786		
33.8	-0.446777	33.8	4.86786		
34	-0.433655	34	4.86847		
34.2	-0.434875	34.2	4.86816		
34.4	-0.440674	34.4	4.86816		
34.6	-0.438843	34.6	4.86816		
34.8	-0.441589	34.8	4.86816		
35	-0.441589	35	4.86816		
35.2	-0.444031	35.2	4.86816		
35.4	-0.4422	35.4	4.86816		
35.6	-0.439453	35.6	4.86816		
35.8	-0.440979	35.8	4.86816		
36	-0.436096	36	4.86816		
36.2	-0.437012	36.2	4.86816		
36.4	-0.436096	36.4	4.86816		
36.6	-0.430603	36.6	4.86847		
36.8	-0.435791	36.8	4.86816		
37	-0.432129	37	4.86847		
37.2	-0.433655	37.2	4.86847		
37.4	-0.440979	37.4	4.86816		
37.6	-0.435486	37.6	4.86816		
37.8	-0.439148	37.8	4.86816		
38	-0.441284	38	4.86816		
38.2	-0.43457	38.2	4.86847		
38.4	-0.43335	38.4	4.86847		
38.6	-0.437622	38.6	4.86816		
38.8	-0.432129	38.8	4.86847		
39	-0.433044	39	4.86847		
39.2	-0.435791	39.2	4.86816		
39.4	-0.435791	39.4	4.86816		
39.6	-0.431519	39.6	4.86847		
39.8	-0.435486	39.8	4.86816		
