time_ms_1	analog_output	time_ms_2	analog_input
33	-0.549011	33	4.8645	
33.2	-0.54718	33.2	4.8645	
33.4	-0.54718	33.4	4.8645	
33.6	-0.550842	33.6	4.8645	
33.8	-0.547791	33.8	4.8645	
34	-0.542603	34	4.86481	
34.2	-0.538025	34.2	4.86481	
34.4	-0.532532	34.4	4.86511	
34.6	-0.537109	34.6	4.86481	
34.8	-0.541077	34.8	4.86481	
35	-0.536499	35	4.86481	
35.2	-0.539246	35.2	4.86481	
35.4	-0.53894	35.4	4.86481	
35.6	-0.53833	35.6	4.86481	
35.8	-0.535889	35.8	4.86481	
36	-0.541077	36	4.86481	
36.2	-0.534058	36.2	4.86511	
36.4	-0.541992	36.4	4.86481	
36.6	-0.541077	36.6	4.86481	
36.8	-0.53833	36.8	4.86481	
37	-0.542603	37	4.86481	
37.2	-0.539246	37.2	4.86481	
37.4	-0.537109	37.4	4.86481	
37.6	-0.537415	37.6	4.86481	
37.8	-0.537415	37.8	4.86481	
38	-0.537415	38	4.86481	
38.2	-0.537109	38.2	4.86481	
38.4	-0.541992	38.4	4.86481	
38.6	-0.540771	38.6	4.86481	
38.8	-0.542297	38.8	4.86481	
39	-0.543823	39	4.86481	
39.2	-0.538025	39.2	4.86481	
39.4	-0.53894	39.4	4.86481	
39.6	-0.544128	39.6	4.86481	
39.8	-0.537415	39.8	4.86481	
