time_ms_1	analog_output	time_ms_1	analog_input
33	-0.198669	33	4.86694	
33.2	-0.193176	33.2	4.86694	
33.4	-0.194397	33.4	4.86694	
33.6	-0.192261	33.6	4.86694	
33.8	-0.191345	33.8	4.86694	
34	-0.19104	34	4.86694	
34.2	-0.177612	34.2	4.86755	
34.4	-0.176086	34.4	4.86755	
34.6	-0.181274	34.6	4.86755	
34.8	-0.178223	34.8	4.86755	
35	-0.178223	35	4.86755	
35.2	-0.179749	35.2	4.86755	
35.4	-0.172729	35.4	4.86755	
35.6	-0.172729	35.6	4.86755	
35.8	-0.175476	35.8	4.86755	
36	-0.179443	36	4.86755	
36.2	-0.172424	36.2	4.86786	
36.4	-0.176392	36.4	4.86755	
36.6	-0.176697	36.6	4.86755	
36.8	-0.175781	36.8	4.86755	
37	-0.177612	37	4.86755	
37.2	-0.177612	37.2	4.86755	
37.4	-0.172729	37.4	4.86755	
37.6	-0.177307	37.6	4.86755	
37.8	-0.174866	37.8	4.86755	
38	-0.169983	38	4.86786	
38.2	-0.172119	38.2	4.86786	
38.4	-0.16571	38.4	4.86786	
38.6	-0.170288	38.6	4.86786	
38.8	-0.177612	38.8	4.86755	
39	-0.172729	39	4.86755	
39.2	-0.17395	39.2	4.86755	
39.4	-0.176392	39.4	4.86755	
39.6	-0.168457	39.6	4.86786	
39.8	-0.168457	39.8	4.86786	
