time_ms_1	analog_output	time_ms_2	analog_input
33	-0.387878	33	4.86633	
33.2	-0.387878	33.2	4.86633	
33.4	-0.386353	33.4	4.86633	
33.6	-0.377502	33.6	4.86664	
33.8	-0.366211	33.8	4.86725	
34	-0.368958	34	4.86694	
34.2	-0.365601	34.2	4.86725	
34.4	-0.371399	34.4	4.86694	
34.6	-0.371704	34.6	4.86694	
34.8	-0.366211	34.8	4.86725	
35	-0.372009	35	4.86694	
35.2	-0.367737	35.2	4.86694	
35.4	-0.366211	35.4	4.86725	
35.6	-0.368042	35.6	4.86694	
35.8	-0.362549	35.8	4.86725	
36	-0.362549	36	4.86725	
36.2	-0.36499	36.2	4.86725	
36.4	-0.36499	36.4	4.86725	
36.6	-0.365906	36.6	4.86725	
36.8	-0.365906	36.8	4.86725	
37	-0.367737	37	4.86694	
37.2	-0.365906	37.2	4.86725	
37.4	-0.365295	37.4	4.86725	
37.6	-0.374146	37.6	4.86694	
37.8	-0.370789	37.8	4.86694	
38	-0.369873	38	4.86694	
38.2	-0.370178	38.2	4.86694	
38.4	-0.365906	38.4	4.86725	
38.6	-0.368958	38.6	4.86694	
38.8	-0.372314	38.8	4.86694	
39	-0.366516	39	4.86694	
39.2	-0.37323	39.2	4.86694	
39.4	-0.374146	39.4	4.86694	
39.6	-0.368042	39.6	4.86694	
39.8	-0.374451	39.8	4.86694	
