time_ms_1	analog_output	time_ms_2	analog_input
3640	-0.565796	3640	4.86755	
3660	-0.562439	3660	4.86755	
3680	-0.563354	3680	4.86755	
3700	-0.563354	3700	4.86755	
3720	-0.567932	3720	4.86755	
3740	-0.56427	3740	4.86755	
3760	-0.565796	3760	4.86755	
3780	-0.562134	3780	4.86755	
3800	-0.565186	3800	4.86755	
3820	-0.567932	3820	4.86755	
3840	-0.561218	3840	4.86755	
3860	-0.570068	3860	4.86755	
3880	-0.559998	3880	4.86755	
3900	-0.569763	3900	4.86755	
3920	-0.562134	3920	4.86755	
3940	-0.567322	3940	4.86755	
3960	-0.56488	3960	4.86755	
3980	-0.563049	3980	4.86755	
4000	-0.567322	4000	4.86755	
4020	-0.568542	4020	4.86755	
4040	-0.561523	4040	4.86755	
4060	-0.572205	4060	4.86725	
4080	-0.557251	4080	4.86786	
4100	-0.571289	4100	4.86725	
4120	-0.561218	4120	4.86755	
4140	-0.571289	4140	4.86725	
4160	-0.559387	4160	4.86786	
4180	-0.570984	4180	4.86755	
4200	-0.557556	4200	4.86786	
4220	-0.57251	4220	4.86725	
4240	-0.559387	4240	4.86786	
4260	-0.570068	4260	4.86755	
4280	-0.555115	4280	4.86786	
4300	-0.570984	4300	4.86725	
4320	-0.559387	4320	4.86755	
4340	-0.569763	4340	4.86725	
4360	-0.559387	4360	4.86755	
4380	-0.565796	4380	4.86755	
4400	-0.558777	4400	4.86755	
4420	-0.569458	4420	4.86725	
4440	-0.554199	4440	4.86786	
4460	-0.57251	4460	4.86725	
4480	-0.546875	4480	4.86786	
4500	-0.569763	4500	4.86725	
4520	-0.548401	4520	4.86786	
4540	-0.562744	4540	4.86755	
4560	-0.546265	4560	4.86786	
4580	-0.552368	4580	4.86755	
4600	-0.546875	4600	4.86786	
4620	-0.54657	4620	4.86786	
4640	-0.542603	4640	4.86786	
4660	-0.547791	4660	4.86755	
4680	-0.538635	4680	4.86786	
4700	-0.545959	4700	4.86755	
4720	-0.539551	4720	4.86786	
4740	-0.548096	4740	4.86755	
4760	-0.535583	4760	4.86786	
4780	-0.545959	4780	4.86755	
4800	-0.53009	4800	4.86786	
4820	-0.550537	4820	4.86725	
4840	-0.531616	4840	4.86786	
4860	-0.549927	4860	4.86725	
4880	-0.52887	4880	4.86786	
4900	-0.550537	4900	4.86725	
4920	-0.531006	4920	4.86786	
4940	-0.552063	4940	4.86725	
4960	-0.531311	4960	4.86786	
4980	-0.546875	4980	4.86725	
5000	-0.533752	5000	4.86786	
5020	-0.54718	5020	4.86725	
5040	-0.536194	5040	4.86755	
5060	-0.542603	5060	4.86755	
5080	-0.535278	5080	4.86755	
5100	-0.543823	5100	4.86755	
5120	-0.53894	5120	4.86755	
5140	-0.545654	5140	4.86755	
5160	-0.540466	5160	4.86755	
5180	-0.53833	5180	4.86755	
5200	-0.543213	5200	4.86755	
5220	-0.540466	5220	4.86755	
5240	-0.541687	5240	4.86755	
5260	-0.541077	5260	4.86755	
5280	-0.543518	5280	4.86755	
5300	-0.539246	5300	4.86755	
5320	-0.546875	5320	4.86755	
5340	-0.540466	5340	4.86755	
5360	-0.54718	5360	4.86755	
5380	-0.534668	5380	4.86786	
5400	-0.550537	5400	4.86725	
5420	-0.539246	5420	4.86755	
5440	-0.547791	5440	4.86755	
5460	-0.541077	5460	4.86755	
5480	-0.545654	5480	4.86755	
5500	-0.53894	5500	4.86755	
5520	-0.552063	5520	4.86725	
5540	-0.539856	5540	4.86755	
5560	-0.55481	5560	4.86725	
5580	-0.533752	5580	4.86786	
5600	-0.557251	5600	4.86725	
5620	-0.537109	5620	4.86786	
5640	-0.555115	5640	4.86725	
5660	-0.539551	5660	4.86786	
5680	-0.549927	5680	4.86755	
5700	-0.541992	5700	4.86755	
5720	-0.548401	5720	4.86755	
5740	-0.545349	5740	4.86755	
5760	-0.547485	5760	4.86755	
5780	-0.542908	5780	4.86755	
5800	-0.545959	5800	4.86755	
5820	-0.547791	5820	4.86755	
5840	-0.547485	5840	4.86755	
5860	-0.550842	5860	4.86755	
5880	-0.536804	5880	4.86786	
5900	-0.551147	5900	4.86725	
5920	-0.543518	5920	4.86755	
5940	-0.548706	5940	4.86755	
5960	-0.545044	5960	4.86755	
5980	-0.540466	5980	4.86755	
6000	-0.548401	6000	4.86755	
6020	-0.546265	6020	4.86755	
6040	-0.542603	6040	4.86755	
6060	-0.549927	6060	4.86755	
6080	-0.535889	6080	4.86786	
6100	-0.551147	6100	4.86725	
6120	-0.53833	6120	4.86786	
6140	-0.551147	6140	4.86725	
6160	-0.543823	6160	4.86755	
6180	-0.540161	6180	4.86755	
6200	-0.54657	6200	4.86755	
6220	-0.541992	6220	4.86755	
6240	-0.54657	6240	4.86755	
6260	-0.539246	6260	4.86755	
6280	-0.543823	6280	4.86755	
6300	-0.543823	6300	4.86755	
6320	-0.543518	6320	4.86755	
6340	-0.542603	6340	4.86755	
6360	-0.543518	6360	4.86755	
6380	-0.53833	6380	4.86755	
6400	-0.547791	6400	4.86755	
6420	-0.53894	6420	4.86755	
6440	-0.544434	6440	4.86755	
6460	-0.542297	6460	4.86755	
6480	-0.539551	6480	4.86755	
6500	-0.541992	6500	4.86755	
6520	-0.543213	6520	4.86755	
6540	-0.539551	6540	4.86755	
6560	-0.541077	6560	4.86755	
6580	-0.534668	6580	4.86786	
6600	-0.541992	6600	4.86755	
6620	-0.536499	6620	4.86755	
6640	-0.540161	6640	4.86755	
6660	-0.545349	6660	4.86755	
6680	-0.53833	6680	4.86755	
6700	-0.548401	6700	4.86725	
6720	-0.537415	6720	4.86755	
6740	-0.551758	6740	4.86725	
6760	-0.535889	6760	4.86786	
6780	-0.548706	6780	4.86725	
6800	-0.540161	6800	4.86755	
6820	-0.555115	6820	4.86725	
6840	-0.536499	6840	4.86786	
6860	-0.55542	6860	4.86725	
6880	-0.53833	6880	4.86786	
6900	-0.549316	6900	4.86755	
6920	-0.545349	6920	4.86755	
6940	-0.544128	6940	4.86755	
6960	-0.545959	6960	4.86755	
6980	-0.544434	6980	4.86755	
7000	-0.545044	7000	4.86755	
7020	-0.54657	7020	4.86755	
7040	-0.541077	7040	4.86755	
7060	-0.549927	7060	4.86755	
7080	-0.532532	7080	4.86786	
7100	-0.550537	7100	4.86725	
7120	-0.534973	7120	4.86786	
7140	-0.546265	7140	4.86755	
7160	-0.539551	7160	4.86755	
7180	-0.544434	7180	4.86755	
7200	-0.536499	7200	4.86786	
7220	-0.541077	7220	4.86755	
7240	-0.541077	7240	4.86755	
7260	-0.539551	7260	4.86755	
7280	-0.533752	7280	4.86786	
7300	-0.542297	7300	4.86755	
7320	-0.534363	7320	4.86755	
7340	-0.541382	7340	4.86755	
7360	-0.532227	7360	4.86786	
7380	-0.537415	7380	4.86755	
7400	-0.526733	7400	4.86786	
7420	-0.544128	7420	4.86725	
7440	-0.525208	7440	4.86786	
7460	-0.541687	7460	4.86725	
7480	-0.524292	7480	4.86786	
7500	-0.540466	7500	4.86725	
7520	-0.526428	7520	4.86786	
7540	-0.53894	7540	4.86755	
7560	-0.526428	7560	4.86786	
7580	-0.533142	7580	4.86755	
7600	-0.527954	7600	4.86755	
7620	-0.536194	7620	4.86755	
7640	-0.526428	7640	4.86755	
7660	-0.537415	7660	4.86725	
7680	-0.523071	7680	4.86786	
7700	-0.536194	7700	4.86755	
7720	-0.523682	7720	4.86786	
7740	-0.540161	7740	4.86725	
7760	-0.520935	7760	4.86786	
7780	-0.534363	7780	4.86755	
7800	-0.523682	7800	4.86786	
7820	-0.533752	7820	4.86755	
7840	-0.526428	7840	4.86755	
7860	-0.531006	7860	4.86755	
7880	-0.526123	7880	4.86755	
7900	-0.533142	7900	4.86755	
7920	-0.527039	7920	4.86755	
7940	-0.52948	7940	4.86755	
7960	-0.531921	7960	4.86755	
7980	-0.523376	7980	4.86786	
8000	-0.534973	8000	4.86725	
8020	-0.526123	8020	4.86755	
8040	-0.534058	8040	4.86755	
8060	-0.529785	8060	4.86755	
8080	-0.52948	8080	4.86755	
8100	-0.532227	8100	4.86755	
8120	-0.531616	8120	4.86755	
8140	-0.533752	8140	4.86755	
8160	-0.536499	8160	4.86755	
8180	-0.526428	8180	4.86786	
8200	-0.53772	8200	4.86725	
8220	-0.527344	8220	4.86755	
8240	-0.541077	8240	4.86725	
8260	-0.527649	8260	4.86786	
8280	-0.537415	8280	4.86755	
8300	-0.53009	8300	4.86755	
8320	-0.541992	8320	4.86725	
8340	-0.529785	8340	4.86755	
8360	-0.542908	8360	4.86725	
8380	-0.527344	8380	4.86786	
8400	-0.540771	8400	4.86725	
8420	-0.531006	8420	4.86755	
8440	-0.537109	8440	4.86755	
8460	-0.531311	8460	4.86755	
8480	-0.537109	8480	4.86755	
8500	-0.527039	8500	4.86786	
8520	-0.541077	8520	4.86725	
8540	-0.527954	8540	4.86786	
8560	-0.538025	8560	4.86755	
8580	-0.531311	8580	4.86755	
8600	-0.542603	8600	4.86725	
8620	-0.533447	8620	4.86755	
8640	-0.539856	8640	4.86755	
8660	-0.535278	8660	4.86755	
8680	-0.533752	8680	4.86755	
8700	-0.541687	8700	4.86755	
8720	-0.539246	8720	4.86755	
8740	-0.537109	8740	4.86755	
8760	-0.541687	8760	4.86755	
8780	-0.536804	8780	4.86755	
8800	-0.539246	8800	4.86755	
8820	-0.53833	8820	4.86755	
8840	-0.543823	8840	4.86755	
8860	-0.538635	8860	4.86755	
8880	-0.541687	8880	4.86755	
8900	-0.53894	8900	4.86755	
8920	-0.543823	8920	4.86755	
8940	-0.541687	8940	4.86755	
8960	-0.545044	8960	4.86755	
8980	-0.53772	8980	4.86755	
9000	-0.545349	9000	4.86755	
9020	-0.542603	9020	4.86755	
9040	-0.540161	9040	4.86755	
9060	-0.547485	9060	4.86755	
9080	-0.533447	9080	4.86786	
9100	-0.552063	9100	4.86725	
9120	-0.53894	9120	4.86755	
9140	-0.552063	9140	4.86725	
9160	-0.53894	9160	4.86755	
9180	-0.548401	9180	4.86755	
9200	-0.544434	9200	4.86755	
9220	-0.551147	9220	4.86725	
9240	-0.547485	9240	4.86755	
9260	-0.55603	9260	4.86725	
9280	-0.542297	9280	4.86786	
9300	-0.560608	9300	4.86725	
9320	-0.544434	9320	4.86755	
9340	-0.560608	9340	4.86725	
9360	-0.545654	9360	4.86786	
9380	-0.55603	9380	4.86755	
9400	-0.548096	9400	4.86755	
9420	-0.557861	9420	4.86725	
9440	-0.547485	9440	4.86755	
