time_ms_1	analog_output	time_ms_2	analog_input
0	-0.374146	0	4.86694	
0.2	-0.372925	0.2	4.86694	
0.4	-0.372009	0.4	4.86694	
0.6	-0.376587	0.6	4.86664	
0.8	-0.377502	0.8	4.86664	
1	-0.377502	1	4.86664	
1.2	-0.377502	1.2	4.86664	
1.4	-0.38208	1.4	4.86664	
1.6	-0.383301	1.6	4.86664	
1.8	-0.385132	1.8	4.86633	
2	-0.389709	2	4.86633	
2.2	-0.383911	2.2	4.86664	
2.4	-0.379639	2.4	4.86664	
2.6	-0.386353	2.6	4.86633	
2.8	-0.379028	2.8	4.86664	
3	-0.378723	3	4.86664	
3.2	-0.379028	3.2	4.86664	
3.4	-0.37323	3.4	4.86694	
3.6	-0.375366	3.6	4.86694	
3.8	-0.376587	3.8	4.86664	
4	-0.373535	4	4.86694	
4.2	-0.375366	4.2	4.86694	
4.4	-0.371399	4.4	4.86694	
4.6	-0.368958	4.6	4.86694	
4.8	-0.370789	4.8	4.86694	
5	-0.369568	5	4.86694	
5.2	-0.369568	5.2	4.86694	
5.4	-0.363464	5.4	4.86725	
5.6	-0.367432	5.6	4.86694	
5.8	-0.36438	5.8	4.86725	
6	-0.360718	6	4.86725	
6.2	-0.362549	6.2	4.86725	
6.4	-0.360718	6.4	4.86725	
6.6	-0.358582	6.6	4.86725	
6.8	-0.362244	6.8	4.86725	
7	-0.359802	7	4.86725	
7.2	-0.359192	7.2	4.86725	
7.4	-0.361023	7.4	4.86725	
7.6	-0.35614	7.6	4.86755	
7.8	-0.358276	7.8	4.86725	
8	-0.360718	8	4.86725	
8.2	-0.35614	8.2	4.86755	
8.4	-0.360413	8.4	4.86725	
8.6	-0.365906	8.6	4.86725	
8.8	-0.363159	8.8	4.86725	
9	-0.365906	9	4.86725	
9.2	-0.369568	9.2	4.86694	
9.4	-0.367432	9.4	4.86694	
9.6	-0.367432	9.6	4.86694	
9.8	-0.37262	9.8	4.86694	
10	-0.371094	10	4.86694	
10.2	-0.368652	10.2	4.86694	
10.4	-0.374451	10.4	4.86694	
10.6	-0.375671	10.6	4.86694	
10.8	-0.372925	10.8	4.86694	
11	-0.380859	11	4.86664	
11.2	-0.378113	11.2	4.86664	
11.4	-0.383606	11.4	4.86664	
11.6	-0.39093	11.6	4.86633	
11.8	-0.387878	11.8	4.86633	
12	-0.39093	12	4.86633	
12.2	-0.396118	12.2	4.86603	
12.4	-0.391541	12.4	4.86633	
12.6	-0.397034	12.6	4.86603	
12.8	-0.400085	12.8	4.86603	
13	-0.397339	13	4.86603	
13.2	-0.400696	13.2	4.86603	
13.4	-0.405579	13.4	4.86572	
13.6	-0.403748	13.6	4.86572	
13.8	-0.421753	13.8	4.86511	
14	-0.421753	14	4.86511	
14.2	-0.421753	14.2	4.86511	
14.4	-0.421753	14.4	4.86511	
14.6	-0.41626	14.6	4.86542	
14.8	-0.426025	14.8	4.86511	
15	-0.410156	15	4.86572	
15.2	-0.427246	15.2	4.86511	
15.4	-0.411072	15.4	4.86572	
15.6	-0.418091	15.6	4.86542	
15.8	-0.41748	15.8	4.86542	
16	-0.415649	16	4.86542	
16.2	-0.414734	16.2	4.86542	
16.4	-0.416565	16.4	4.86542	
16.6	-0.414429	16.6	4.86542	
16.8	-0.414734	16.8	4.86542	
17	-0.41748	17	4.86542	
17.2	-0.411377	17.2	4.86572	
17.4	-0.415039	17.4	4.86542	
17.6	-0.413208	17.6	4.86542	
17.8	-0.405884	17.8	4.86572	
18	-0.411377	18	4.86572	
18.2	-0.412292	18.2	4.86572	
18.4	-0.412292	18.4	4.86572	
18.6	-0.407104	18.6	4.86572	
18.8	-0.412292	18.8	4.86572	
19	-0.410767	19	4.86572	
19.2	-0.406189	19.2	4.86572	
19.4	-0.40802	19.4	4.86572	
19.6	-0.40863	19.6	4.86572	
19.8	-0.403748	19.8	4.86572	
20	-0.407104	20	4.86572	
20.2	-0.409241	20.2	4.86572	
20.4	-0.406189	20.4	4.86572	
20.6	-0.411987	20.6	4.86572	
20.8	-0.404358	20.8	4.86572	
21	-0.405273	21	4.86572	
21.2	-0.409546	21.2	4.86572	
21.4	-0.404663	21.4	4.86572	
21.6	-0.402832	21.6	4.86603	
21.8	-0.404358	21.8	4.86572	
22	-0.39856	22	4.86603	
22.2	-0.402527	22.2	4.86603	
22.4	-0.403748	22.4	4.86572	
22.6	-0.403748	22.6	4.86572	
22.8	-0.401917	22.8	4.86603	
23	-0.40741	23	4.86572	
23.2	-0.410156	23.2	4.86572	
23.4	-0.407715	23.4	4.86572	
23.6	-0.415344	23.6	4.86542	
23.8	-0.414429	23.8	4.86542	
24	-0.413513	24	4.86542	
24.2	-0.41748	24.2	4.86542	
24.4	-0.416565	24.4	4.86542	
24.6	-0.415955	24.6	4.86542	
24.8	-0.419922	24.8	4.86542	
25	-0.416565	25	4.86542	
25.2	-0.41748	25.2	4.86542	
25.4	-0.425415	25.4	4.86511	
25.6	-0.422974	25.6	4.86511	
25.8	-0.427551	25.8	4.86511	
26	-0.430908	26	4.86481	
26.2	-0.427246	26.2	4.86511	
26.4	-0.430298	26.4	4.86511	
26.6	-0.430298	26.6	4.86511	
